"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"HoogRisicoOpAngstOfDepressie_25"
"217259";"53115";"MW00000";"BU01411003";"2022JJ00";"19.8"
"217263";"53115";"MW00000";"WK014111  ";"2022JJ00";"16.7"
"217267";"53115";"MW00000";"BU01411100";"2022JJ00";"17.5"
"217271";"53115";"MW00000";"BU01411101";"2022JJ00";"11.9"
"217275";"53115";"MW00000";"BU01411102";"2022JJ00";"14.1"
"217279";"53115";"MW00000";"BU01411103";"2022JJ00";"20"
"217283";"53115";"MW00000";"BU01411104";"2022JJ00";"19.6"
"217287";"53115";"MW00000";"BU01411105";"2022JJ00";
"217291";"53115";"MW00000";"BU01411109";"2022JJ00";"7"
"217295";"53115";"MW00000";"WK014112  ";"2022JJ00";"10.5"
"217299";"53115";"MW00000";"BU01411200";"2022JJ00";"11.7"
"217303";"53115";"MW00000";"BU01411201";"2022JJ00";"8.1"
"217307";"53115";"MW00000";"BU01411202";"2022JJ00";"13.3"
"217311";"53115";"MW00000";"BU01411203";"2022JJ00";"9.1"
"217315";"53115";"MW00000";"BU01411204";"2022JJ00";"12.2"
"217319";"53115";"MW00000";"BU01411205";"2022JJ00";
"217323";"53115";"MW00000";"BU01411206";"2022JJ00";"13.8"
"217327";"53115";"MW00000";"BU01411209";"2022JJ00";"6.5"
"217331";"53115";"MW00000";"WK014113  ";"2022JJ00";"13.1"
"217335";"53115";"MW00000";"BU01411300";"2022JJ00";"12.3"
"217339";"53115";"MW00000";"BU01411301";"2022JJ00";"5.7"
"217343";"53115";"MW00000";"BU01411302";"2022JJ00";"18.6"
"217347";"53115";"MW00000";"BU01411303";"2022JJ00";"21.6"
"217351";"53115";"MW00000";"BU01411304";"2022JJ00";"6.1"
"217355";"53115";"MW00000";"BU01411305";"2022JJ00";"6.3"
"217359";"53115";"MW00000";"BU01411309";"2022JJ00";"5.2"
"217363";"53115";"MW00000";"WK014114  ";"2022JJ00";"17.9"
"217367";"53115";"MW00000";"BU01411400";"2022JJ00";"11.5"
"217371";"53115";"MW00000";"BU01411401";"2022JJ00";"12.2"
"217375";"53115";"MW00000";"BU01411402";"2022JJ00";"25.8"
"217379";"53115";"MW00000";"BU01411403";"2022JJ00";"16.6"
"217383";"53115";"MW00000";"BU01411404";"2022JJ00";"8.6"
"217387";"53115";"MW00000";"BU01411405";"2022JJ00";"19.9"
"217391";"53115";"MW00000";"BU01411406";"2022JJ00";"13"
"217395";"53115";"MW00000";"BU01411409";"2022JJ00";"6.6"
"217399";"53115";"MW00000";"WK014115  ";"2022JJ00";"22"
"217403";"53115";"MW00000";"BU01411500";"2022JJ00";"23.4"
"217407";"53115";"MW00000";"BU01411501";"2022JJ00";"21.8"
"217411";"53115";"MW00000";"BU01411502";"2022JJ00";"20.2"
"217415";"53115";"MW00000";"WK014116  ";"2022JJ00";"19.4"
"217419";"53115";"MW00000";"BU01411600";"2022JJ00";"19.4"
"217423";"53115";"MW00000";"BU01411601";"2022JJ00";"18.7"
"217427";"53115";"MW00000";"BU01411602";"2022JJ00";"24.3"
"217431";"53115";"MW00000";"BU01411603";"2022JJ00";"18.2"
"217435";"53115";"MW00000";"BU01411604";"2022JJ00";"15.4"
